date,revenue
2020-01-01,51490.14
2020-02-01,55606.48
2020-03-01,62645.87
2020-04-01,67632.92
2020-05-01,62042.9
2020-06-01,59403.97
2020-07-01,60865.3
2020-08-01,54451.24
2020-09-01,48101.54
2020-10-01,50819.17
2020-11-01,50162.26
2020-12-01,54836.85
2021-01-01,62981.21
2021-02-01,62536.76
2021-03-01,67783.37
2021-04-01,73632.29
2021-05-01,71962.19
2021-06-01,73304.44
2021-07-01,65658.91
2021-08-01,60167.34
2021-09-01,66162.22
2021-10-01,60769.48
2021-11-01,64010.42
2021-12-01,64215.12
2022-01-01,72877.49
2022-02-01,80864.68
2022-03-01,81760.46
2022-04-01,88701.56
2022-05-01,85454.08
2022-06-01,83741.94
2022-07-01,78833.18
2022-08-01,82216.41
2022-09-01,73980.11
2022-10-01,70528.99
2022-11-01,78530.78
2022-12-01,77082.15
2023-01-01,87392.55
2023-02-01,86908.22
2023-03-01,93484.21
2023-04-01,100420.37
2023-05-01,101726.72
2023-06-01,97386.45
2023-07-01,92546.67
2023-08-01,88011.58
2023-09-01,81840.35
2023-10-01,83797.91
2023-11-01,86936.55
2023-12-01,96171.37
