date,num_engineers,active_projects,avg_contract_value,revenue
2020-01-01,16,6,3059.22,18875.09
2020-02-01,16,4,3105.4,17985.25
2020-03-01,18,7,3107.41,26206.17
2020-04-01,20,7,3112.66,27147.71
2020-05-01,18,6,2929.69,25550.23
2020-06-01,19,7,3181.83,26866.78
2020-07-01,23,9,3250.61,29756.48
2020-08-01,23,9,3211.88,25599.82
2020-09-01,22,7,3393.27,15464.64
2020-10-01,24,8,3559.53,20940.75
2020-11-01,24,9,3909.15,28840.29
2020-12-01,25,10,3620.02,30771.5
2021-01-01,27,9,3689.81,36939.84
2021-02-01,25,9,3676.6,38037.07
2021-03-01,26,8,3360.93,31433.04
2021-04-01,29,9,3792.57,43446.24
2021-05-01,29,11,3863.11,47473.05
2021-06-01,32,13,4396.9,62733.87
2021-07-01,31,11,3918.97,45425.86
2021-08-01,31,12,4070.95,43210.04
2021-09-01,36,13,4056.89,47738.12
2021-10-01,35,12,3883.29,39425.04
2021-11-01,36,13,4398.78,51900.06
2021-12-01,35,14,4373.79,61026.65
2022-01-01,37,13,4434.8,57161.62
2022-02-01,39,15,4147.91,64711.18
2022-03-01,38,11,4663.54,56448.11
2022-04-01,41,15,4155.8,68705.38
2022-05-01,41,14,4606.73,71268.22
2022-06-01,42,14,4980.64,74411.26
2022-07-01,43,15,4397.64,66517.98
2022-08-01,47,14,4535.68,61153.89
2022-09-01,46,16,4722.06,68650.76
2022-10-01,45,16,4654.62,69380.99
2022-11-01,49,19,4498.38,78011.7
2022-12-01,47,16,4875.41,79446.9
2023-01-01,50,17,4702.43,81192.64
2023-02-01,47,16,5062.8,83290.48
2023-03-01,49,18,4837.39,91859.44
2023-04-01,53,19,5384.45,111269.49
2023-05-01,54,18,4971.01,95959.46
2023-06-01,55,20,5116.44,107756.8
2023-07-01,55,19,5396.75,103484.73
2023-08-01,56,21,5041.06,101716.6
2023-09-01,55,19,5385.92,93710.69
2023-10-01,57,20,5655.05,102071.31
2023-11-01,58,20,5125.31,94684.97
2023-12-01,62,20,5536.93,108451.4
